harvested,deficiency ,recommended Crop,reason for recommended crop),fertilizers,pesticides,organic Matter
Rice (Paddy),Nitrogen (N) depletion,"Moong (मूंग), Urd (उड़द), Arhar (अरहर)","Legumes form Rhizobium nodules fixing atmospheric N and their residues decompose quickly, restoring soil N and improving soil structure. — लेग्यूम नोड्यूल्स द्वारा N फिक्स कर मिट्टी की उर्वरा शक्ति बढ़ाते हैं।",Urea 60 kg/ha + SSP 150 kg/ha (fast N and basal P),Carbendazim 50% WP / Mancozeb 75% WP (fungal prevention),Green manure (Sesbania - ढैंचा) 4–6 t/ha (improves organic C and N)
Wheat,Zinc (Zn) and Iron (Fe) deficiency,"Maize (मक्का), Groundnut (मूंगफली), Soybean (सोयाबीन)","Rotation with legumes and broadleaf crops mobilizes micronutrients, breaks pest cycles and improves soil structure. — रोटेशन सूक्ष्मपोषक उपलब्धता और मिट्टी की संरचना सुधारता है।",DAP 100 kg/ha + Zinc sulfate 25 kg/ha (basal N-P and Zn correction),Chlorpyrifos 20 EC (soil pests),FYM 5 t/ha (boosts microbial activity and micronutrient availability)
Maize,Nitrogen (N) and Phosphorus (P) depletion,"Cowpea (लोबिया), Green gram (मूंग), Lentil (मसूर)",Short-duration legumes fix N and their residues produce organic acids that mobilize P; reduces need for synthetic N. — लेग्यूम N जोड़ते हैं और अवशेष P उपलब्धता बढ़ाते हैं।,SSP 120 kg/ha + Urea 40 kg/ha (P maintenance and starter N),Imidacloprid 17.8 SL (seed treatment),Compost 3–4 t/ha (improves aggregation and nutrient retention)
Sorghum,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Pearl millet (Bajra),General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Finger millet (Ragi),General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Barley,Zinc (Zn) and Iron (Fe) deficiency,"Maize (मक्का), Groundnut (मूंगफली), Soybean (सोयाबीन)","Rotation with legumes and broadleaf crops mobilizes micronutrients, breaks pest cycles and improves soil structure. — रोटेशन सूक्ष्मपोषक उपलब्धता और मिट्टी की संरचना सुधारता है।",DAP 100 kg/ha + Zinc sulfate 25 kg/ha (basal N-P and Zn correction),Chlorpyrifos 20 EC (soil pests),FYM 5 t/ha (boosts microbial activity and micronutrient availability)
Oats,Zinc (Zn) and Iron (Fe) deficiency,"Maize (मक्का), Groundnut (मूंगफली), Soybean (सोयाबीन)","Rotation with legumes and broadleaf crops mobilizes micronutrients, breaks pest cycles and improves soil structure. — रोटेशन सूक्ष्मपोषक उपलब्धता और मिट्टी की संरचना सुधारता है।",DAP 100 kg/ha + Zinc sulfate 25 kg/ha (basal N-P and Zn correction),Chlorpyrifos 20 EC (soil pests),FYM 5 t/ha (boosts microbial activity and micronutrient availability)
Small millet (Kodo),General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Little millet (Kutki),General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Barnyard millet (Sanwa),General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Foxtail millet (Kangni),General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Bajra hybrid,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Green gram (Moong),General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Black gram (Urd),General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Chickpea (Gram),Phosphorus (P) deficiency,"Rice (Paddy) (धान), Maize (मक्का), Pearl millet (Bajra) (बाजरा)",Cereals following pulses add biomass and feed microbial processes that mobilize fixed P; residues conserve moisture. — अनाज अवशेष P को गतिशील बनाते हैं और नमी बचाते हैं।,DAP 125 kg/ha (basal N & P),Copper oxychloride (root rot control),Rice husk compost 3 t/ha (light carbon source improving aeration)
Pigeon pea (Arhar,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Lentil (Masoor),General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Cowpea (Lobia),General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Moth bean (Matki),General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
